nome=Daniel e Erick Pães e Doces ME, cnpj=85.572.055/0001-29, inscricaoEst=27901219-5, dataAbertura=08/04/2016, site=www.danielerick.com.br, email=treinamento@danielerick.com.br, cep=61621-180, rua=Rua das Flores, numero=477, bairro=Jardim Icaraí, cidade=Caucaia, estado=CE, telefone=(85) 2852-2198, celular=(85) 98840-5611
nome=Gustavo e Kamilly Informática ME, cnpj=98.815.959/0001-80, inscricaoEst=118.469.860/1415, dataAbertura=13/01/1981, site=www.gustavokamilly.com.br, email=manutencao@gustavokamilly.com.br, cep=31320-050, rua=Rua Diomar de Souza e Silva, numero=400, bairro=Ouro Preto, cidade=Belo Horizonte, estado=MG, telefone=(31) 3744-5730, celular=(31) 98480-5490
nome=Fernando e Murilo Filmagens Ltda, cnpj=73.850.294/0001-14, inscricaoEst=489.286.440/0523, dataAbertura=07/05/1980, site=www.fernandomurilo.com.br, email=administracao@fernandomurilo.com.br, cep=33040-070, rua=Rua Gaspar Viana, numero=762, bairro=Vila Olga, cidade=Santa Luzia, estado=MG, telefone=(31) 2518-4924, celular=(31) 99975-5785
nome=Carolina e Jennifer Doces & Salgados ME, cnpj=95.559.509/0001-85, inscricaoEst=043.495.031/6349, dataAbertura=25/09/1979, site=www.carolinajennifer.com.br, email=sistema@carolinajennifer.com.br, cep=38181-626, rua=Rua Maria Vaz de São Paulo, numero=848, bairro=Novo Horizonte, cidade=Araxá, estado=MG, telefone=(34) 3696-7995, celular=(34) 99901-4965
nome=Lorenzo e Guilherme Assessoria Jurídica ME, cnpj=99.787.760/0001-58, inscricaoEst=379.992.472/8636, dataAbertura=15/04/1978, site=www.lorenzoguilherme.com.br, email=comunicacoes@lorenzoguilherme.com.br, cep=31140-220, rua=Rua Quixadá, numero=497, bairro=Nova Floresta, cidade=Belo Horizonte, estado=MG, telefone=(31) 2512-0038, celular=(31) 98371-1497
nome=Diego e Murilo Telecomunicações ME, cnpj=73.850.294/0001-14, inscricaoEst=489.286.440/0523, dataAbertura=07/05/1977, site=www.diegomurilo.com.br, email=marketing@diegomurilo.com.br, cep=31515-285, rua=Rua das Taboas, numero=762, bairro=São João Batista (Venda Nova), cidade=Belo Horizonte, estado=MG, telefone=(31) 2518-4924, celular=(31) 99975-5785
nome=Emily e Alícia Mudanças Ltda, cnpj=87.043.269/0001-33, inscricaoEst=758.937.471/4193, dataAbertura=25/02/1976, site=www.emilyalicia.com.br, email=presidencia@emilyalicia.com.br, cep=31360-510, rua=Rua K, numero=601, bairro=Conjunto Confisco, cidade=Belo Horizonte, estado=MG, telefone=(31) 3560-8387, celular=(31) 98651-1937
nome=Carolina e Giovanna Entregas Expressas ME, cnpj=87.043.269/0001-33, inscricaoEst=758.937.471/4193, dataAbertura=25/02/1975, site=www.carolinagiovanna.com.br, email=representantes@carolinagiovanna.com.br, cep=31748-323, rua=Rua Carlos Romeu, numero=601, bairro=Jaqueline, cidade=Belo Horizonte, estado=MG, telefone=(31) 3560-8387, celular=(31) 98651-1937
nome=Eduardo e Bruna Alimentos Ltda, cnpj=76.152.672/0001-84, inscricaoEst=724.918.596/4252, dataAbertura=03/09/1974, site=www.eduardobruna.com.br, email=suporte@eduardobruna.com.br, cep=35054-880, rua=Rua Manoel Soares dos Santos, numero=229, bairro=Castanheiras II, cidade=Governador Valadares, estado=MG, telefone=(33) 3872-9339, celular=(33) 98262-6893
nome=Marcela e Evelyn Vidros ME, cnpj=10.792.492/0001-59, inscricaoEst=693.273.093/2620, dataAbertura=16/08/1973, site=www.marcelaevelyn.com.br, email=fiscal@marcelaevelyn.com.br, cep=38304-454, rua=Rua Lucas Rodrigues, numero=109, bairro=Nova Ituiutaba IV, cidade=Ituiutaba, estado=MG, telefone=(34) 2737-2850, celular=(34) 99615-5394
nome=Felipe e Gustavo Publicidade e Propaganda Ltda, cnpj=49.505.422/0001-08, inscricaoEst=290.628.421/8433, dataAbertura=16/03/1972, site=www.felipegustavo.com.br, email=suporte@felipegustavo.com.br, cep=37007-102, rua=Rua Maria Bortolosso Batistão, numero=350, bairro=Jardim São Joaquim, cidade=Varginha, estado=MG, telefone=(35) 2673-7258, celular=(35) 98175-0202
nome=Luan e Vitória Marcenaria ME, cnpj=41.079.885/0001-43, inscricaoEst=034.827.852/0547, dataAbertura=10/11/1971, site=www.luanvitoria.com.br, email=desenvolvimento@luanvitoria.com.br, cep=35022-140, rua=Rua Sete, numero=119, bairro=Santos Dumont I, cidade=Governador Valadares, estado=MG, telefone=(33) 3707-0527, celular=(33) 99789-3872
nome=Olivia e Marcos Vinicius Joalheria ME, cnpj=74.336.472/0001-56, inscricaoEst=070.840.786/5165, dataAbertura=13/12/1970, site=www.oliviamarcos_vinicius.com.br, email=fiscal@oliviamarcos_vinicius.com.br, cep=36038-500, rua=Rua dos Cravos, numero=493, bairro=Novo Horizonte, cidade=Juiz de Fora, estado=MG, telefone=(32) 3690-7721, celular=(32) 98964-3290
nome=Evelyn e Joaquim Transportes ME, cnpj=71.419.624/0001-96, inscricaoEst=406.149.547/9608, dataAbertura=16/08/1969, site=www.evelynjoaquim.com.br, email=fiscal@evelynjoaquim.com.br, cep=35041-390, rua=Rua Marataízes, numero=914, bairro=Vila do Sol, cidade=Governador Valadares, estado=MG, telefone=(33) 3810-3251, celular=(33) 99324-4116
nome=Yuri e Manuela Construções ME, cnpj=41.079.885/0001-43, inscricaoEst=034.827.852/0547, dataAbertura=10/11/1968, site=www.yurimanuela.com.br, email=ti@yurimanuela.com.br, cep=37900-127, rua=Travessa Afonso Pena, numero=119, bairro=Centro, cidade=Passos, estado=MG, telefone=(35) 3707-0527, celular=(35) 99789-3872
nome=Juan e Benjamin Transportes Ltda, cnpj=56.444.262/0001-08, inscricaoEst=380.231.933/2763, dataAbertura=25/02/1967, site=www.juanbenjamin.com.br, email=seguranca@juanbenjamin.com.br, cep=35519-977, rua=Rua Benjamin Martins do Espírito Santo 1811, numero=760, bairro=Park Dona Gumercinda, cidade=Nova Serrana, estado=MG, telefone=(37) 3904-0345, celular=(37) 98125-5681
nome=Augusto e Mariah Limpeza Ltda, cnpj=98.815.959/0001-80, inscricaoEst=118.469.860/1415, dataAbertura=13/01/1966, site=www.augustomariah.com.br, email=ti@augustomariah.com.br, cep=38070-130, rua=Rua Lagoa da Prata, numero=400, bairro=Boa Vista, cidade=Uberaba, estado=MG, telefone=(34) 3744-5730, celular=(34) 98480-5490
nome=Lorena e Arthur Ferragens Ltda, cnpj=55.476.459/0001-58, inscricaoEst=199.101.446/8486, dataAbertura=27/05/1965, site=www.lorenaarthur.com.br, email=treinamento@lorenaarthur.com.br, cep=35170-017, rua=Rua Dionísio Garcia, numero=890, bairro=Professores, cidade=Coronel Fabriciano, estado=MG, telefone=(31) 2503-8768, celular=(31) 98238-9024
nome=Catarina e Luiz Eletrônica ME, cnpj=42.783.203/0001-41, inscricaoEst=251.359.904/8997, dataAbertura=21/05/1964, site=www.catarinaluiz.com.br, email=contabil@catarinaluiz.com.br, cep=37002-510, rua=Rua Quinze de Novembro, numero=545, bairro=Centro, cidade=Varginha, estado=MG, telefone=(35) 3872-1618, celular=(35) 98518-4414
nome=Stella e Julio Filmagens Ltda, cnpj=89.990.344/0001-07, inscricaoEst=787.089.978/0004, dataAbertura=02/05/1963, site=www.stellajulio.com.br, email=producao@stellajulio.com.br, cep=35902-013, rua=Avenida W-2, numero=446, bairro=Gabiroba, cidade=Itabira, estado=MG, telefone=(31) 2517-4905, celular=(31) 98852-7551
nome=Ryan e Gabriela Informática Ltda, cnpj=11.720.258/0001-89, inscricaoEst=131.442.461/4990, dataAbertura=09/09/1962, site=www.ryangabriela.com.br, email=estoque@ryangabriela.com.br, cep=39402-890, rua=Rua Carlos de Andrade, numero=597, bairro=Vila Maria Cândida, cidade=Montes Claros, estado=MG, telefone=(38) 3913-2792, celular=(38) 99143-3459
nome=Giovanna e Matheus Comercio de Bebidas Ltda, cnpj=12.881.025/0001-20, inscricaoEst=449.404.641/2340, dataAbertura=12/04/1961, site=www.giovannamatheus.com.br, email=producao@giovannamatheus.com.br, cep=32606-672, rua=Rua Antônio Lambertucci, numero=820, bairro=Conjunto Habitacional Homero Gil, cidade=Betim, estado=MG, telefone=(31) 3981-7485, celular=(31) 98978-7980
nome=Sophia e Sophia Telecomunicações Ltda, cnpj=87.043.269/0001-33, inscricaoEst=758.937.471/4193, dataAbertura=25/02/1960, site=www.sophiasophia.com.br, email=suporte@sophiasophia.com.br, cep=32015-360, rua=Rua Dezoito, numero=601, bairro=Vila Panamá, cidade=Contagem, estado=MG, telefone=(31) 3560-8387, celular=(31) 98651-1937
nome=Bruna e Flávia Consultoria Financeira ME, cnpj=22.039.507/0001-91, inscricaoEst=892.581.401/5030, dataAbertura=02/09/1959, site=www.brunaflavia.com.br, email=orcamento@brunaflavia.com.br, cep=36300-360, rua=Rua Santo Sudário, numero=985, bairro=Senhor dos Montes, cidade=São João Del Rei, estado=MG, telefone=(32) 3610-6771, celular=(32) 98943-3383
nome=Maitê e Paulo Casa Noturna ME, cnpj=40.787.649/0001-19, inscricaoEst=682.587.440/6408, dataAbertura=06/07/1958, site=www.maitepaulo.com.br, email=rh@maitepaulo.com.br, cep=38082-045, rua=Rua Joaquim Orqueli Silva, numero=137, bairro=São José, cidade=Uberaba, estado=MG, telefone=(34) 3943-1034, celular=(34) 99753-5290
nome=Emanuelly e Erick Filmagens ME, cnpj=97.921.894/0001-94, inscricaoEst=212.799.294/1805, dataAbertura=15/04/2016, site=www.emanuellyerick.com.br, email=presidencia@emanuellyerick.com.br, cep=30140-180, rua=Rua Professor Francisco Brant, numero=666, bairro=Funcionários, cidade=Belo Horizonte, estado=MG, telefone=(31) 3799-6481, celular=(31) 98892-0100
nome=Bruna e Nicole Telecom ME, cnpj=84.510.075/0001-02, inscricaoEst=173.085.883/7018, dataAbertura=24/03/2015, site=www.brunanicole.com.br, email=treinamento@brunanicole.com.br, cep=36070-240, rua=Rua Oscar Paulo de Almeida, numero=192, bairro=Costa Carvalho, cidade=Juiz de Fora, estado=MG, telefone=(32) 2830-1808, celular=(32) 99830-0307
nome=Elisa e Emanuelly Telas ME, cnpj=87.387.180/0001-94, inscricaoEst=027.678.556/3247, dataAbertura=04/07/2014, site=www.elisaemanuelly.com.br, email=qualidade@elisaemanuelly.com.br, cep=35020-820, rua=Rua Vinte e Quatro, numero=453, bairro=Ilha dos Araújos, cidade=Governador Valadares, estado=MG, telefone=(33) 3677-8245, celular=(33) 99332-1040
nome=Rafaela e Emanuelly Lavanderia Ltda, cnpj=47.242.838/0001-55, inscricaoEst=080.971.679/2641, dataAbertura=19/06/2013, site=www.rafaelaemanuelly.com.br, email=producao@rafaelaemanuelly.com.br, cep=31578-420, rua=Rua Radialista Moreira Sobrinho, numero=192, bairro=Céu Azul, cidade=Belo Horizonte, estado=MG, telefone=(31) 3956-3717, celular=(31) 98654-0834
nome=João e Heloisa Marketing ME, cnpj=58.674.821/0001-93, inscricaoEst=893.290.355/6271, dataAbertura=04/08/2012, site=www.joaoheloisa.com.br, email=administracao@joaoheloisa.com.br, cep=37504-324, rua=Rua Evaristo Alkimin da Costa, numero=102, bairro=Açude, cidade=Itajubá, estado=MG, telefone=(35) 2832-0148, celular=(35) 98960-7080
nome=Rebeca e Carolina Alimentos ME, cnpj=87.387.180/0001-94, inscricaoEst=027.678.556/3247, dataAbertura=04/07/2011, site=www.rebecacarolina.com.br, email=ti@rebecacarolina.com.br, cep=36048-530, rua=Rua José Marioni, numero=453, bairro=Grama, cidade=Juiz de Fora, estado=MG, telefone=(32) 3677-8245, celular=(32) 99332-1040
nome=Iago e Nicolas Consultoria Financeira Ltda, cnpj=25.257.645/0001-35, inscricaoEst=275.335.078/8280, dataAbertura=22/06/2010, site=www.iagonicolas.com.br, email=ti@iagonicolas.com.br, cep=32051-025, rua=Rua Dez, numero=315, bairro=Nazaré, cidade=Contagem, estado=MG, telefone=(31) 2828-8669, celular=(31) 98955-5229
nome=Julio e Heloisa Pizzaria Delivery Ltda, cnpj=74.115.803/0001-28, inscricaoEst=416.415.222/9320, dataAbertura=17/06/2009, site=www.julioheloisa.com.br, email=rh@julioheloisa.com.br, cep=35504-113, rua=Alameda Rio Maranhão, numero=552, bairro=Tietê, cidade=Divinópolis, estado=MG, telefone=(37) 3804-4802, celular=(37) 99871-9200
nome=Thales e Bianca Telecom ME, cnpj=41.079.885/0001-43, inscricaoEst=034.827.852/0547, dataAbertura=10/11/2008, site=www.thalesbianca.com.br, email=producao@thalesbianca.com.br, cep=36272-971, rua=Rua Padre Arlindo Vieira 57, numero=119, bairro=São José de Pouso Alegre, cidade=Alfredo Vasconcelos, estado=MG, telefone=(32) 3707-0527, celular=(32) 99789-3872
nome=Caio e Mirella Telecomunicações ME, cnpj=41.079.885/0001-43, inscricaoEst=034.827.852/0547, dataAbertura=10/11/2007, site=www.caiomirella.com.br, email=representantes@caiomirella.com.br, cep=36046-560, rua=Rua Arcioli Lazzarini, numero=119, bairro=Quintas das Avenidas, cidade=Juiz de Fora, estado=MG, telefone=(32) 3707-0527, celular=(32) 99789-3872
nome=Renato e Diego Casa Noturna Ltda, cnpj=25.257.645/0001-35, inscricaoEst=275.335.078/8280, dataAbertura=22/06/2006, site=www.renatodiego.com.br, email=sistema@renatodiego.com.br, cep=36081-786, rua=Rua Helena Pereira Muniz, numero=315, bairro=Monte Castelo, cidade=Juiz de Fora, estado=MG, telefone=(32) 2828-8669, celular=(32) 98955-5229
nome=Emily e Agatha Restaurante Ltda, cnpj=42.541.784/0001-05, inscricaoEst=982.066.744/9982, dataAbertura=12/01/2005, site=www.emilyagatha.com.br, email=almoxarifado@emilyagatha.com.br, cep=38410-298, rua=Rua Uganda, numero=404, bairro=Laranjeiras, cidade=Uberlândia, estado=MG, telefone=(34) 3872-6605, celular=(34) 99573-9907
nome=Valentina e Pedro Henrique Telas Ltda, cnpj=50.490.940/0001-84, inscricaoEst=965.702.743/1992, dataAbertura=20/01/2004, site=www.valentinapedro_henrique.com.br, email=producao@valentinapedro_henrique.com.br, cep=36307-258, rua=Rua Três, numero=514, bairro=Centro, cidade=São João Del Rei, estado=MG, telefone=(32) 2798-6766, celular=(32) 99262-1716
nome=Diego e Caroline Adega Ltda, cnpj=30.596.051/0001-99, inscricaoEst=099.981.653/7382, dataAbertura=01/05/2003, site=www.diegocaroline.com.br, email=financeiro@diegocaroline.com.br, cep=38061-606, rua=Rua Guarani, numero=627, bairro=Vila Celeste, cidade=Uberaba, estado=MG, telefone=(34) 3935-3622, celular=(34) 99632-5921
nome=Sarah e Amanda Consultoria Financeira Ltda, cnpj=28.916.015/0001-13, inscricaoEst=246.248.170/2392, dataAbertura=20/11/2002, site=www.sarahamanda.com.br, email=seguranca@sarahamanda.com.br, cep=35170-208, rua=Beco Dois, numero=956, bairro=São Geraldo, cidade=Coronel Fabriciano, estado=MG, telefone=(31) 3731-2506, celular=(31) 99355-4156
nome=Débora e Maria Corretores Associados Ltda, cnpj=60.881.557/0001-00, inscricaoEst=034.419.280/6074, dataAbertura=16/09/2001, site=www.deboramaria.com.br, email=compras@deboramaria.com.br, cep=35700-524, rua=Rua Itaperuna, numero=475, bairro=São Francisco de Assis, cidade=Sete Lagoas, estado=MG, telefone=(31) 3642-5235, celular=(31) 98160-8863
nome=Nathan e Antonio Telas Ltda, cnpj=42.200.929/0001-04, inscricaoEst=148.177.606/9889, dataAbertura=10/08/2000, site=www.nathanantonio.com.br, email=juridico@nathanantonio.com.br, cep=37710-066, rua=Rua Custódio Ignez de Souza, numero=953, bairro=Jardim Itamaraty III, cidade=Poços de Caldas, estado=MG, telefone=(35) 2681-4251, celular=(35) 98134-0342
nome=Gabriela e Heitor Padaria Ltda, cnpj=53.109.370/0001-28, inscricaoEst=987.160.841/0006, dataAbertura=20/12/1999, site=www.gabrielaheitor.com.br, email=ti@gabrielaheitor.com.br, cep=33840-280, rua=Rua Cravina, numero=262, bairro=Rosaneves, cidade=Ribeirão das Neves, estado=MG, telefone=(31) 3802-6603, celular=(31) 99666-5603
nome=Isabelle e Sara Mudanças Ltda, cnpj=70.424.031/0001-55, inscricaoEst=436.638.788/7155, dataAbertura=25/03/1998, site=www.isabellesara.com.br, email=fabricacao@isabellesara.com.br, cep=38184-120, rua=Rua Donato Pinheiro dos Santos, numero=886, bairro=Vila João Ribeiro, cidade=Araxá, estado=MG, telefone=(34) 3889-3541, celular=(34) 98226-4777
nome=Lívia e Pietra Gráfica ME, cnpj=87.387.180/0001-94, inscricaoEst=027.678.556/3247, dataAbertura=04/07/1997, site=www.liviapietra.com.br, email=presidencia@liviapietra.com.br, cep=32681-856, rua=Beco Reis, numero=453, bairro=Jardim Teresópolis, cidade=Betim, estado=MG, telefone=(31) 3677-8245, celular=(31) 99332-1040
nome=Jennifer e Isabella Alimentos ME, cnpj=03.328.525/0001-49, inscricaoEst=762.841.862/3438, dataAbertura=15/01/1996, site=www.jenniferisabella.com.br, email=contabilidade@jenniferisabella.com.br, cep=39802-420, rua=Rua Barbacena, numero=425, bairro=Belvedere, cidade=Teófilo Otoni, estado=MG, telefone=(33) 2579-5348, celular=(33) 98517-7939
nome=Alícia e Caio Adega Ltda, cnpj=53.109.370/0001-28, inscricaoEst=987.160.841/0006, dataAbertura=20/12/1995, site=www.aliciacaio.com.br, email=ouvidoria@aliciacaio.com.br, cep=35701-148, rua=Rua Cerâmica, numero=262, bairro=Vapabuçu, cidade=Sete Lagoas, estado=MG, telefone=(31) 3802-6603, celular=(31) 99666-5603
nome=Emily e Nathan Alimentos Ltda, cnpj=53.109.370/0001-28, inscricaoEst=987.160.841/0006, dataAbertura=20/12/1994, site=www.emilynathan.com.br, email=ti@emilynathan.com.br, cep=35930-044, rua=Rua Santa Izabel, numero=262, bairro=Alvorada, cidade=João Monlevade, estado=MG, telefone=(31) 3802-6603, celular=(31) 99666-5603
nome=Nina e Eloá Contábil Ltda, cnpj=78.605.436/0001-00, inscricaoEst=016.334.706/7469, dataAbertura=27/03/1993, site=www.ninaeloa.com.br, email=financeiro@ninaeloa.com.br, cep=33943-320, rua=Rua dos Cristais, numero=810, bairro=Jardim de Alá (Justinópolis), cidade=Ribeirão das Neves, estado=MG, telefone=(31) 2848-8919, celular=(31) 99986-9313
nome=Isaac e Henrique Adega Ltda, cnpj=51.808.255/0001-16, inscricaoEst=359.513.983/9620, dataAbertura=16/04/1992, site=www.isaachenrique.com.br, email=administracao@isaachenrique.com.br, cep=30290-021, rua=Beco Vitorioso, numero=427, bairro=Taquaril, cidade=Belo Horizonte, estado=MG, telefone=(31) 2614-5480, celular=(31) 99415-4989
nome=Diego e Laura Entregas Expressas Ltda, cnpj=17.938.796/0001-20, inscricaoEst=251.801.876/0670, dataAbertura=25/10/1991, site=www.diegolaura.com.br, email=rh@diegolaura.com.br, cep=38402-264, rua=Alameda José Novato Filho, numero=557, bairro=Minas Gerais, cidade=Uberlândia, estado=MG, telefone=(34) 2919-6516, celular=(34) 99247-6255
nome=Alexandre e Gabriela Gráfica ME, cnpj=42.171.156/0001-85, inscricaoEst=842.274.082/3305, dataAbertura=11/11/1990, site=www.alexandregabriela.com.br, email=financeiro@alexandregabriela.com.br, cep=39802-275, rua=Rua José Augusto Faria, numero=315, bairro=São João, cidade=Teófilo Otoni, estado=MG, telefone=(33) 2785-4653, celular=(33) 99969-7702
nome=Agatha e Sophie Adega Ltda, cnpj=14.289.316/0001-50, inscricaoEst=285.904.379/5550, dataAbertura=15/12/1989, site=www.agathasophie.com.br, email=vendas@agathasophie.com.br, cep=31970-195, rua=Rua Mércia de Souza Coutinho, numero=391, bairro=Pousada Santo Antônio, cidade=Belo Horizonte, estado=MG, telefone=(31) 3651-6224, celular=(31) 98493-2974
nome=Luiz e Samuel Doces & Salgados Ltda, cnpj=21.314.401/0001-96, inscricaoEst=587.797.708/6184, dataAbertura=24/01/1988, site=www.luizsamuel.com.br, email=administracao@luizsamuel.com.br, cep=38036-680, rua=Rua Otávio Barbosa, numero=528, bairro=Núcleo Habitacional Silvério Cartafina, cidade=Uberaba, estado=MG, telefone=(34) 2856-2351, celular=(34) 99720-8649
nome=Bianca e Arthur Entregas Expressas ME, cnpj=94.917.621/0001-88, inscricaoEst=825.961.085/8290, dataAbertura=12/01/1987, site=www.biancaarthur.com.br, email=sac@biancaarthur.com.br, cep=33130-060, rua=Rua Guapuhi, numero=582, bairro=São Cosme de Baixo (São Benedito), cidade=Santa Luzia, estado=MG, telefone=(31) 3922-9811, celular=(31) 99264-3315
nome=Pedro e Bárbara Locações de Automóveis ME, cnpj=30.596.051/0001-99, inscricaoEst=099.981.653/7382, dataAbertura=01/05/1986, site=www.pedrobarbara.com.br, email=contato@pedrobarbara.com.br, cep=38303-092, rua=Praça Nelson dos Reis Domingos Júnior, numero=627, bairro=Santa Edwiges, cidade=Ituiutaba, estado=MG, telefone=(34) 3935-3622, celular=(34) 99632-5921
nome=Luan e Luana Fotografias ME, cnpj=07.073.852/0001-58, inscricaoEst=491.690.589/8476, dataAbertura=04/01/1985, site=www.luanluana.com.br, email=contabilidade@luanluana.com.br, cep=30240-632, rua=Beco Boa Ventura, numero=568, bairro=Nossa Senhora Aparecida, cidade=Belo Horizonte, estado=MG, telefone=(31) 3653-2327, celular=(31) 99356-9855
nome=Carlos Eduardo e Leonardo Alimentos ME, cnpj=93.358.188/0001-25, inscricaoEst=756.738.525/8290, dataAbertura=17/02/1984, site=www.carlos_eduardoleonardo.com.br, email=administracao@carlos_eduardoleonardo.com.br, cep=34555-304, rua=Rua Regente Feijó, numero=625, bairro=Rosário, cidade=Sabará, estado=MG, telefone=(31) 3652-4325, celular=(31) 99291-7736
nome=Davi e Eduarda Filmagens ME, cnpj=85.739.571/0001-03, inscricaoEst=363.127.639/7985, dataAbertura=21/09/1983, site=www.davieduarda.com.br, email=cobranca@davieduarda.com.br, cep=35054-824, rua=Avenida Dois, numero=926, bairro=Figueira do Rio Doce, cidade=Governador Valadares, estado=MG, telefone=(33) 3832-3080, celular=(33) 98858-1538
nome=Giovanni e Eduarda Transportes Ltda, cnpj=85.739.571/0001-03, inscricaoEst=363.127.639/7985, dataAbertura=21/09/1982, site=www.giovannieduarda.com.br, email=cobranca@giovannieduarda.com.br, cep=38307-122, rua=Rua Araras, numero=926, bairro=Marta Helena, cidade=Ituiutaba, estado=MG, telefone=(34) 3832-3080, celular=(34) 98858-1538
nome=Heitor e Cecília Locações de Automóveis Ltda, cnpj=85.739.571/0001-03, inscricaoEst=363.127.639/7985, dataAbertura=21/09/1981, site=www.heitorcecilia.com.br, email=pesquisa@heitorcecilia.com.br, cep=35060-630, rua=Rua Um, numero=926, bairro=Santa Efigênia, cidade=Governador Valadares, estado=MG, telefone=(33) 3832-3080, celular=(33) 98858-1538
nome=Anthony e Flávia Lavanderia ME, cnpj=38.993.957/0001-59, inscricaoEst=385.535.787/1679, dataAbertura=05/01/1980, site=www.anthonyflavia.com.br, email=@anthonyflavia.com.br, cep=38037-891, rua=Rua H, numero=207, bairro=Loteamento das Gameleiras, cidade=Uberaba, estado=MG, telefone=(34) 2895-8322, celular=(34) 99607-5470
nome=Vinicius e Laura Pizzaria Delivery Ltda, cnpj=17.938.796/0001-20, inscricaoEst=251.801.876/0670, dataAbertura=25/10/1979, site=www.viniciuslaura.com.br, email=sistema@viniciuslaura.com.br, cep=35681-446, rua=Rua José Medeiros, numero=557, bairro=Residencial Veredas, cidade=Itaúna, estado=MG, telefone=(37) 2919-6516, celular=(37) 99247-6255
nome=Maitê e Carolina Construções Ltda, cnpj=12.121.752/0001-90, inscricaoEst=420.402.497/4349, dataAbertura=03/08/1978, site=www.maitecarolina.com.br, email=fale_conosco@maitecarolina.com.br, cep=30250-360, rua=Beco Semifusa, numero=395, bairro=Santana do Cafezal, cidade=Belo Horizonte, estado=MG, telefone=(31) 3961-6414, celular=(31) 98473-6812
nome=Samuel e André Restaurante Ltda, cnpj=58.700.196/0001-07, inscricaoEst=694.012.061/8432, dataAbertura=19/12/1977, site=www.samuelandre.com.br, email=sistema@samuelandre.com.br, cep=32013-092, rua=Rua Um, numero=900, bairro=Fonte Grande, cidade=Contagem, estado=MG, telefone=(31) 3529-9280, celular=(31) 98491-4923
nome=Nicolas e Levi Construções ME, cnpj=21.314.401/0001-96, inscricaoEst=587.797.708/6184, dataAbertura=24/01/1976, site=www.nicolaslevi.com.br, email=suporte@nicolaslevi.com.br, cep=37701-168, rua=Rua Doutor Vicente Risola, numero=528, bairro=São Benedito, cidade=Poços de Caldas, estado=MG, telefone=(35) 2856-2351, celular=(35) 99720-8649
nome=Bruno e Luiza Transportes ME, cnpj=81.152.822/0001-90, inscricaoEst=85149383-1, dataAbertura=16/11/2016, site=www.brunoluiza.com.br, email=administracao@brunoluiza.com.br, cep=60534-090, rua=Rua José Mendonça, numero=824, bairro=Parque Genibaú, cidade=Fortaleza, estado=CE, telefone=(85) 2908-2719, celular=(85) 98901-4307
nome=Mariane e Lara Construções Ltda, cnpj=05.276.660/0001-13, inscricaoEst=77185262-2, dataAbertura=19/03/2015, site=www.marianelara.com.br, email=financeiro@marianelara.com.br, cep=61948-240, rua=Rua Afonso Cordeiro, numero=620, bairro=Parque Iracema, cidade=Maranguape, estado=CE, telefone=(85) 3945-9855, celular=(85) 98507-3649
nome=Julia e Ian Gráfica Ltda, cnpj=53.080.748/0001-08, inscricaoEst=70960020-8, dataAbertura=18/12/2014, site=www.juliaian.com.br, email=ouvidoria@juliaian.com.br, cep=61604-470, rua=Rua Antônio Fernandes Bezerra, numero=604, bairro=Conjunto Metropolitano, cidade=Caucaia, estado=CE, telefone=(85) 2756-6104, celular=(85) 98674-4819
nome=Kevin e Alice Locações de Automóveis Ltda, cnpj=85.739.571/0001-03, inscricaoEst=36301276-1, dataAbertura=21/09/2013, site=www.kevinalice.com.br, email=producao@kevinalice.com.br, cep=60341-180, rua=Vila Hie, numero=926, bairro=Jardim Iracema, cidade=Fortaleza, estado=CE, telefone=(85) 3832-3080, celular=(85) 98858-1538
nome=Ian e Theo Contábil ME, cnpj=58.700.196/0001-07, inscricaoEst=69400120-1, dataAbertura=19/12/2012, site=www.iantheo.com.br, email=atendimento@iantheo.com.br, cep=63018-410, rua=Rua Beatriz Maria da Costa, numero=900, bairro=Pedrinhas, cidade=Juazeiro do Norte, estado=CE, telefone=(88) 3529-9280, celular=(88) 98491-4923
nome=Ricardo e André Locações de Automóveis ME, cnpj=49.573.497/0001-26, inscricaoEst=13748287-6, dataAbertura=27/01/2011, site=www.ricardoandre.com.br, email=administracao@ricardoandre.com.br, cep=61625-240, rua=Rua Raimundo Nonato Alexandre, numero=779, bairro=Camurupim, cidade=Caucaia, estado=CE, telefone=(85) 3990-3408, celular=(85) 99584-1281
nome=Raquel e Kevin Ferragens ME, cnpj=24.022.881/0001-00, inscricaoEst=05406408-2, dataAbertura=21/04/2010, site=www.raquelkevin.com.br, email=pos_venda@raquelkevin.com.br, cep=60060-290, rua=Rua dos Guanacés, numero=240, bairro=Praia de Iracema, cidade=Fortaleza, estado=CE, telefone=(85) 2603-1188, celular=(85) 98124-2531
nome=Caio e Camila Marketing ME, cnpj=38.993.957/0001-59, inscricaoEst=38555357-9, dataAbertura=05/01/2009, site=www.caiocamila.com.br, email=pesquisa@caiocamila.com.br, cep=61640-125, rua=Rua Cileuda Costa, numero=207, bairro=São Miguel (Jurema), cidade=Caucaia, estado=CE, telefone=(85) 2895-8322, celular=(85) 99607-5470
